"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.22,0.02,0.744,0,0.244,0,0.004,0
"2",1,0,0,0,0,0,0,0,0,0.116
"3",2,0.924,0.608,1,1,1,1,0.996,0.524,1
"4",3,0.008,0,0,0.372,0.616,0,1,0.56,0.088
"5",4,1,0.668,0.112,0.432,0.24,0.368,0.244,0.096,0
"6",5,0.196,0.596,0.496,0.036,0.468,0.04,0.42,0.348,0.192
"7",6,0,0,0,0,0.208,0.668,0,0.284,0
"8",7,0,1,0.868,1,0.664,0,0.936,1,0.996
"9",8,0,0.448,0,0,0,0,0,0,0
"10",9,0,0,0,0,0,0.716,0,0.504,0
"11",10,0,0,0,0,0.056,0,0,0,0.04
"12",11,0,0,0,0,0.46,0,0,0,0
"13",12,1,0.592,0.996,0.624,0.004,1,1,0.048,1
"14",13,0,0,0,0,0,0,0,0,0
"15",14,0.028,1,0,0,0,0,0,0.236,0.284
"16",15,0,0,0,0.772,0.032,0.004,0,0,0
"17",16,0,0.004,0,0,0,0,0,0,0
"18",17,0.052,0,0,0.008,0,0,0,0,0
"19",18,0.028,0,0,0.504,0,0.044,0,0.108,0
"20",19,0,0,0.588,0.3,0,0,0,0,0
"21",20,0,0.012,0,0.064,0,0,0,0.1,0.188
"22",21,0,0,0,0.012,0,0,0,0.412,0.632
"23",22,0,0.304,0,0,0.004,0,0,0,0
"24",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",24,0.616,0.864,0.808,0.572,0.772,0.276,0.072,0.032,0.176
"26",25,1,0.996,1,0.556,1,1,0.536,0,0.416
"27",26,0,0,0,0,0,0,0,0.864,0
"28",27,0,0.016,0.504,0,0.052,0,0,0,0
"29",28,0,0,0,0,0,0,0,0,0
"30",29,0.408,0,0,0,0.172,0.496,0.124,0,0
"31",30,0.028,1,1,0.004,0.956,0.608,0.972,1,0.996
"32",31,0,0,0,0,0,0.012,0,0,0
"33",32,0.984,0.82,1,0.976,0.248,0.44,0.284,0.488,0.86
"34",33,0.104,0,0.008,0,0,0,0,0,0.544
"35",34,0,0,0,0,0,0,0,0,0
"36",35,1,1,0.992,1,1,0.96,0.868,1,0.036
"37",36,0,0,0.984,0,0,0.028,0,0,0.984
"38",37,0.004,0,0,0.964,0,0,0,0,0
"39",38,0,1,1,0,0,0,0,0.064,0.004
"40",39,0.32,0.06,0,0.06,0.344,0.392,0,0.244,0.08
"41",40,0,0.072,0,0.004,0.196,0,0.288,0,0.228
"42",41,0,0.152,0.008,0.12,1,1,1,0,1
"43",42,0,0.996,0.472,0,0,0.044,0,0.992,0.016
"44",43,0.072,0,0,0,0,0,0,0.48,0.004
"45",44,0,0,0,0,0,0.848,0,0,0
"46",45,0,0.016,0.12,0,0.996,0,0.012,1,1
"47",46,0,0.02,1,0.992,0.072,0.864,0.004,0.736,0
"48",47,0,0,0,0,0,0,0,0,0
"49",48,0,0.048,0.016,0,0.016,0.008,0,0,0.076
"50",49,0.524,0.452,0.584,0.604,0.508,0.628,0.856,0.428,0.316
"51",50,0,0.328,0,0,0.004,0.004,0,0,0.012
"52",51,1,0,0,0,0.848,0,0,1,0
"53",52,0,0,0,0,0,0,0.268,0,0
"54",53,0.992,0.964,1,1,1,1,0,1,0.008
"55",54,0,0.236,0.008,0.208,0.416,0.004,0,0.004,0.248
"56",55,0.032,0.048,1,0.988,0.884,1,0,0.008,0.784
"57",56,0.004,0,0.004,0.14,0,0,0,0,0
"58",57,0,0,0,0.104,0,0.004,0,0,0
"59",58,0,0.108,0.996,0,0.012,1,0,0.048,0
"60",59,0.924,0.208,0,0.856,0.132,0.016,0,0.532,0
"61",60,0,0,0,0,0.092,0,0.012,0.768,0.996
"62",61,0.972,0.7,1,0.976,1,1,1,1,0.544
"63",62,1,0.956,1,0.928,1,1,0.944,1,1
"64",63,0.144,0.004,0.768,0.14,0.232,0.648,0.064,0.276,0.244
"65",64,0,0.024,0,0.708,0,0.016,0.876,0.352,0
"66",65,0.92,0.136,0,0,0,0,0,0,0
"67",66,0.192,0,0.652,0,0,0,0,0,0.156
