"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.076,0.052,0.656,0.644,0.096,0,0.036,0.02,0
"2",1,0.628,0,0.12,0,0,0,0,0,0.028
"3",2,0.252,1,0.992,1,0.628,0.952,0.036,1,0.98
"4",3,0.86,0,0.276,0.24,0.84,0.216,0.296,0.052,0.244
"5",4,0.468,0.24,0.22,0.496,0.272,0.604,0.036,0.14,0.664
"6",5,0.512,0.476,0.24,0.684,0.292,0.588,0.228,0.444,0.432
"7",6,0.044,0.008,0,0.004,0,0,0,0.064,0.084
"8",7,0.096,1,0.228,0.572,0.444,0.096,0.98,0,0.3
"9",8,0.028,0,0,0.012,0,0.008,0.1,0,0.136
"10",9,0,0,0,0,0.672,0,0,0.008,0
"11",10,0,0,0.5,0.092,0,0.008,0.008,0.704,0
"12",11,0,0,0,0.024,0.38,0.472,0.516,0,0.004
"13",12,0.9,0.972,1,0.96,0.664,0.352,0.352,0.556,0.124
"14",13,0,0,0,0.556,0,0.068,0.012,0,0
"15",14,0.312,0.864,0.004,0.372,0.06,0,0.004,0.704,0
"16",15,0,0.728,0.768,0,0,0.136,0.496,0,0.276
"17",16,0,0,0.012,0.232,0.38,0.384,0.512,0.068,0
"18",17,0.024,0,0.08,0.004,0.22,0.004,0,0.156,0
"19",18,0.504,0.008,0,0.164,0.032,0,0.16,0.424,0
"20",19,0,0,0,0.352,0.716,0,0,0,0.012
"21",20,0.084,0.048,0,0.64,0,0.48,0,0.556,0
"22",21,0.028,0.004,0.032,0.24,0.144,0,0.1,0,0.004
"23",22,0,0.428,0,0.596,0,0,0,0,0
"24",23,0.132,0.052,0.26,0.184,0.96,0.968,0.98,0.492,0
"25",24,0.584,0.82,0.728,0.188,0.472,0.244,0.576,0.42,0.448
"26",25,0.96,0.1,0,0.632,1,1,1,0.12,0.716
"27",26,0.052,0.004,0,0,0,0,0.004,0,0
"28",27,0.652,0.208,0.004,0.012,0.2,0,0.096,0.02,0.436
