"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0.468,0.452,0.52,0.472,0.364,0.484,0.98,0
"2",1,0,0.54,0.46,0.46,0.476,0.512,0.48,0,0
"3",2,1,0.568,0.52,0.484,0.604,0.728,0.772,1,0
"4",3,0,0.5,0.54,0.552,0.548,0.5,0.436,0,0
"5",4,0.132,0.796,0.54,0.516,0.692,0.54,0.488,1,0
"6",5,0.264,0.62,0.592,0.468,0.552,0.556,0.476,0,0
"7",6,0,0.472,0.52,0.604,0.5,0.456,0.524,0,0
"8",7,1,0.572,0.404,0.392,0.668,0.808,0.608,1,0
"9",8,0,0.484,0.452,0.484,0.528,0.54,0.34,0,0
"10",9,0,0.5,0.656,0.364,0.336,0.424,0.516,0.76,0
"11",10,0,0.692,0.468,0.248,0.328,0.264,0.468,0,0
"12",11,0,0.544,0.424,0.48,0.228,0.38,0.448,0,0
"13",12,1,0.48,0.472,0.516,0.612,0.656,0.668,1,0
"14",13,0,0.244,0.48,0.432,0.444,0.504,0.432,0.836,0
"15",14,0.472,0.648,0.672,0.604,0.388,0.452,0.512,1,0
"16",15,0,0.564,0.584,0.52,0.532,0.472,0.424,1,0
"17",16,0,0.224,0.5,0.42,0.452,0.5,0.524,0,0
"18",17,0,0.472,0.504,0.352,0.352,0.392,0.308,0,0
"19",18,0,0.524,0.524,0.436,0.548,0.476,0.468,0.02,0
"20",19,0,0.496,0.336,0.6,0.38,0.508,0.512,0.944,0
"21",20,0,0.452,0.444,0.552,0.468,0.504,0.444,1,0
"22",21,0,0.48,0.552,0.476,0.504,0.404,0.564,0.056,0
"23",22,0,0.372,0.296,0.576,0.424,0.032,0.544,1,0
"24",23,1,0.648,0.54,0.52,0.488,0.476,0.528,0,0
"25",24,1,0.596,0.504,0.476,0.496,0.444,0.532,0,0
"26",25,1,0.556,0.908,0.696,0.68,0.388,0.716,1,0
"27",26,0,0.532,0.228,0.452,0.496,0.152,0.5,1,0
"28",27,0,0.468,0.48,0.452,0.436,0.272,0.528,0,0
"29",28,0,0.312,0.512,0.572,0.532,0.344,0.656,1,0
"30",29,0,0.552,0.504,0.544,0.488,0.444,0.464,0,0
"31",30,1,0.848,0.408,0.892,0.512,0.7,0.552,1,0
"32",31,0,0.484,0.212,0.496,0.54,0.444,0.408,0,0
