0,1,2,3,4,5,6,7,8,9,10,11
-0.0,0.9999999999999998,9.656412786546246e-17,9.656412786546246e-17,3.8625651146184985e-16,3.8625651146184985e-16,-2.4141031966365614e-16,-3.8625651146184985e-16,9.656412786546246e-17,3.8625651146184985e-16,-0.0,-0.0
-0.0,-0.0,1.0,2.1823837240859715e-16,-4.364767448171943e-16,-2.1823837240859715e-16,1.0911918620429857e-16,-0.0,-2.1823837240859715e-16,4.364767448171943e-16,-0.0,-0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.337935251253817e-16,1.0844838128134543e-16,5.422419064067271e-17,-1.0844838128134543e-16,0.9999999999999996,-5.422419064067271e-17,-5.422419064067271e-17,-1.0844838128134543e-16,-0.0,1.0844838128134543e-16,1.0844838128134543e-16,-0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,1.9124002309315556e-16,-0.0,-0.0,3.824800461863111e-16,9.562001154657778e-17,1.0,1.9124002309315556e-16,-0.0,-3.824800461863111e-16,-9.562001154657778e-17,-0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.0,-8.655408606068533e-17,-0.0,-0.0,3.462163442427413e-16,-1.7310817212137065e-16,-4.3277043030342663e-17,-1.7310817212137065e-16,-0.0,1.0,8.655408606068533e-17,-0.0
-2.560834672615018,2.017242004468472,1.8254138122729775,-0.5620723748816038,-2.7812925100669954,1.6035246417154545,1.0735654141836113,2.5135733295445046,0.36111373381234163,2.806313758354434,0.9999999999999997,0.0
5.3076770699893006,-1.8815552724760056,-1.4438612508518018,3.224573004991741,5.55995218444655,-1.363174354067031,0.41433946512175285,-2.97928282811768,-1.7369183350748307,-2.32569506007138,-1.531682713941904,1.0
